ID,name,category,gender,follower_count,platform,tier
1,Allison Hill,Beauty,Other,891691,Twitter,Micro
2,Noah Rhodes,Tech,Female,777595,Twitter,Micro
3,Angie Henderson,Fitness,Female,210235,Twitter,Macro
4,Daniel Wagner,Beauty,Female,35939,YouTube,Micro
5,Cristian Santos,Beauty,Female,976429,Twitter,Celebrity
6,Connie Lawrence,Tech,Female,970445,Twitter,Celebrity
7,Abigail Shaffer,Fitness,Female,162906,Twitter,Micro
8,Gina Moore,Fitness,Other,552335,Twitter,Celebrity
9,Gabrielle Davis,Beauty,Other,298249,Instagram,Micro
10,Ryan Munoz,Lifestyle,Female,85766,Instagram,Micro
11,Monica Herrera,Beauty,Other,418923,Twitter,Celebrity
12,Jamie Arnold,Beauty,Male,425192,YouTube,Micro
13,Lisa Hensley,Beauty,Female,578550,Instagram,Celebrity
14,Michele Williams,Beauty,Male,397261,Twitter,Macro
15,Dylan Miller,Tech,Male,820208,Instagram,Micro
16,Brian Ramirez,Fitness,Female,695440,Instagram,Macro
17,Holly Wood,Tech,Other,662664,YouTube,Celebrity
18,Derek Zuniga,Tech,Male,994346,Twitter,Macro
19,Lisa Jackson,Tech,Female,464589,Twitter,Macro
20,Carla Gray,Beauty,Male,147848,YouTube,Celebrity
21,Margaret Hawkins DDS,Lifestyle,Male,627075,YouTube,Macro
22,Patty Perez,Fitness,Male,137948,Twitter,Macro
23,Ethan Adams,Lifestyle,Male,589304,Twitter,Celebrity
24,Tommy Walter,Tech,Other,412690,YouTube,Macro
25,Matthew Foster,Tech,Male,509046,Instagram,Celebrity
26,Judy Baker,Lifestyle,Male,461269,Instagram,Macro
27,Justin Baker,Lifestyle,Male,31959,YouTube,Celebrity
28,Stephanie Ross,Lifestyle,Other,670890,Instagram,Celebrity
29,Zachary Hicks,Tech,Male,760216,YouTube,Macro
30,Anthony Rodriguez,Tech,Male,915533,Instagram,Macro
31,Rebecca Henderson,Fitness,Other,800180,Instagram,Macro
32,James Ferrell,Fitness,Other,238576,Twitter,Micro
33,Tricia Valencia,Tech,Other,547833,Twitter,Micro
34,Nathan Maldonado,Lifestyle,Male,924091,Instagram,Micro
35,Debra Davidson,Lifestyle,Other,993703,Instagram,Celebrity
36,Jeffrey Chavez,Fitness,Other,175838,Twitter,Macro
37,Sherri Baker,Tech,Male,345674,Twitter,Celebrity
38,Cassandra Gaines,Fitness,Other,889989,Twitter,Micro
39,Elizabeth Fowler,Fitness,Male,71087,YouTube,Macro
40,Brittany Farmer,Beauty,Female,603128,Instagram,Celebrity
41,Paula Moreno,Beauty,Other,128451,Twitter,Macro
42,Fred Smith,Beauty,Female,457600,Instagram,Celebrity
43,Sherry Decker,Lifestyle,Male,847437,YouTube,Macro
44,Anthony Humphrey,Tech,Other,449792,YouTube,Micro
45,Angelica Tucker,Tech,Male,49353,Twitter,Micro
46,Philip Cannon,Tech,Female,203075,YouTube,Macro
47,John Pierce,Tech,Male,224283,Instagram,Celebrity
48,Shane Henderson,Beauty,Other,324877,Twitter,Micro
49,Joshua Blair,Lifestyle,Other,75318,Instagram,Micro
50,Eric Carney,Lifestyle,Female,775313,Instagram,Micro
51,Jessica Holmes,Beauty,Male,492690,YouTube,Macro
52,Danny Morgan,Lifestyle,Other,426880,YouTube,Macro
53,Crystal Robinson,Beauty,Female,601460,YouTube,Celebrity
54,Mark Perez,Tech,Other,750976,YouTube,Celebrity
55,Shannon Jones,Beauty,Other,791239,YouTube,Celebrity
56,Michael Lewis,Tech,Male,103264,Twitter,Macro
57,Timothy Duncan,Tech,Other,780746,Instagram,Macro
58,Richard Aguirre,Fitness,Male,823168,Instagram,Celebrity
59,Brent Jordan,Beauty,Other,235281,Instagram,Celebrity
60,John Daniel,Fitness,Female,647147,Instagram,Macro
61,Victoria Garcia,Beauty,Other,908613,YouTube,Celebrity
62,Gerald Hensley,Beauty,Male,404070,Instagram,Micro
63,Connor West,Fitness,Male,362228,Twitter,Macro
64,Donald Wright,Fitness,Female,441839,Twitter,Celebrity
65,Jessica Callahan,Beauty,Other,279536,Instagram,Macro
66,Amber Kidd,Lifestyle,Other,327824,Instagram,Micro
67,Tracy House,Tech,Female,267426,Twitter,Macro
68,Carol Tucker,Fitness,Other,187789,Twitter,Macro
69,James Brown,Tech,Other,523153,YouTube,Macro
70,William Baker,Lifestyle,Male,752452,Twitter,Macro
71,Jordan Henderson,Lifestyle,Other,847291,YouTube,Micro
72,Whitney Peters,Lifestyle,Other,135657,YouTube,Macro
73,Brittney Phillips,Fitness,Female,245167,YouTube,Macro
74,Lauren Daniels,Lifestyle,Female,691669,YouTube,Celebrity
75,Amy Silva,Fitness,Male,490671,YouTube,Macro
76,Sarah Moore,Lifestyle,Other,729094,Instagram,Celebrity
77,Angela Lopez,Tech,Other,80467,Twitter,Micro
78,Megan Young,Tech,Other,193734,YouTube,Micro
79,Steve Sanchez,Beauty,Male,632794,Twitter,Micro
80,Lisa Barnes,Tech,Male,119751,Twitter,Micro
81,Kelly Donovan,Beauty,Female,391050,YouTube,Celebrity
82,Mike Allen,Tech,Male,940192,Instagram,Macro
83,Michael Evans,Fitness,Other,821774,YouTube,Micro
84,Paul Jones,Tech,Other,702517,Instagram,Macro
85,Zachary Ferrell,Beauty,Male,471079,Twitter,Celebrity
86,Daniel Baker,Beauty,Other,378452,Instagram,Celebrity
87,Shirley Suarez,Lifestyle,Other,979587,Instagram,Celebrity
88,Christopher Bass,Fitness,Male,116081,Instagram,Micro
89,Lisa Archer,Tech,Male,993237,Twitter,Macro
90,Aimee Montoya,Lifestyle,Other,623333,Twitter,Macro
91,Matthew Mcmillan,Tech,Other,568986,Instagram,Macro
92,Brian Rodriguez,Tech,Other,120078,Instagram,Celebrity
93,Denise Jacobs,Lifestyle,Female,877055,YouTube,Micro
94,Christina Walters,Lifestyle,Female,32671,Instagram,Celebrity
95,John Whitehead,Lifestyle,Female,428400,YouTube,Celebrity
96,Anna Henderson,Lifestyle,Male,365528,Instagram,Macro
97,Aaron Wise,Lifestyle,Female,969611,YouTube,Celebrity
98,Deborah Figueroa,Tech,Male,620490,Twitter,Macro
99,Jessica Smith,Lifestyle,Male,61663,Instagram,Micro
100,Stephen Mckee,Fitness,Female,25708,Instagram,Macro
